ID,Subject,Group Name,Status,Priority,Created At,Age (in Days),Tags,Requester Email,Responder ID,School Code,Priority Reason,Module,Type
1311401,Datewise Assigner List Delta,10X-Atul-PD,8,1,2025-05-06T11:12:23Z,33,"Transport Management, Delta Discussed, WFC, Confirmation Given",,1060023085785,,,Transport Management,Prod. Enhancement
1311387,Filter in PDF export for Dynamic Student Reports || SJSBLA,10X-Sandhya-PD,8,1,2025-05-06T11:03:54Z,33,"Student Inforamtion, TL Review, Product Head Reviewed",,1060023084071,,,Student Information,Change Request
1311306,"248#Red Roses Public School, Saket (Product upgradation in to 10X)",10X-Parvez-PD,8,1,2025-05-06T10:12:47Z,33,,,1060018581359,,,10X Upgrade,Prod. Enhancement
1311270,1327#Viaan International School (Product upgradation in to 10X),10X-Atul-PD,8,1,2025-05-06T09:52:13Z,33,"Delta Discussed, Product Head Reviewed",,1060023085785,,,10X Upgrade,Prod. Enhancement
1311213,"1150#Our Lady Queen of The Mission School, Kolkata (Product upgradation in to 10X)",10X-Atul-PD,8,1,2025-05-06T09:28:17Z,33,,,1060004975270,,,10X Upgrade,Prod. Enhancement
1311198,"1041#Ira International School, Butibori-Nagpur (Product upgradation in to 10X)",10X-Parvez-PD,8,1,2025-05-06T09:22:12Z,33,Staff Administration and Payroll,,1060027877850,,,Staff Administration & Payroll,Prod. Enhancement
1311178,"1452#Vishal Bharti Public School, Paschim Vihar, New Delhi (Product upgradation in to 10X)",10X-Atul-PD,8,1,2025-05-06T09:11:04Z,33,"Fee & Billing, Delta Discussed, Product Head Reviewed",,1060023085785,,,Fee and Billing,Prod. Enhancement
1311170,"1451#DAV Police Public School, Panchkula, Punjab (Delta )",10X-Atul-PD,8,1,2025-05-06T09:07:59Z,33,"Fee & Billing, Delta Discussed, WFC, Confirmation Given, Product Head Reviewed",,1060023085785,,,Fee and Billing,Prod. Enhancement
1310995,Need changes in Route change and Route Withdrawal,10X-Atul-PD,8,1,2025-05-06T07:18:21Z,33,Transport Management,,1060004975270,,,Transport Management,Change Request
1310885,Regarding Payroll report,10X-Parvez-PD,8,3,2025-05-06T06:35:02Z,33,"Staff Administration and Payroll, TL Review, Prod. Enhancement",,1060019283783,,,Staff Administration & Payroll,Prod. Enhancement
1310847,Transport > Bus Route Request > Multi Instalment payment,10X-Atul-PD,8,2,2025-05-06T06:21:20Z,33,"Transport Management, Product Head Reviewed",,1060001536356,,,Transport Management,Change Request
1310761,Regarding Fee report,10X-Atul-PD,8,1,2025-05-06T05:50:20Z,33,"Fee & Billing, TL Review",,1060004975270,,,Fee and Billing,Prod. Enhancement
1310638,"Mary Mount, Kattachira # 1991 (Reg : Promotion of Hostellers not happening)",10X-Sandhya-PD,8,3,2025-05-06T05:07:32Z,33,Student Inforamtion,,1060023084904,,,Student Information,Prod. Enhancement
1312735,Reg. Fine Settings || #2086 HTSJSR,10X-Atul-PD,8,3,2025-05-07T12:34:12Z,32,"Fee & Billing, TL Review, WFC, Product Head Reviewed, Confirmation Given",,1060004975270,,,Fee and Billing,Change Request
1312696,Student information new report,10X-Sandhya-PD,8,1,2025-05-07T12:01:23Z,32,"TL Review, Delta Discussed, WFC, Confirmation Given",,1060004324169,,,10X Upgrade,Prod. Enhancement
1312578,Need a New Report Format,10X-Sandhya-PD,8,1,2025-05-07T11:02:18Z,32,"Student Attendance, TL Review",,1060004975270,,,Student Attendance,Prod. Enhancement
1312382,STUDENT LEAVING CERTIFICATE,10X-Sandhya-PD,8,1,2025-05-07T09:19:40Z,32,"Student Inforamtion, Prod. Enhancement, TL Review, Product Head Reviewed",,1060023084071,,,Student Information,Prod. Enhancement
1312005,Reg- Add more field,10X-Sandhya-PD,8,3,2025-05-07T06:07:14Z,32,"Student Inforamtion, Prod. Enhancement",,1060004975270,,,Student Information,Prod. Enhancement
1313763,"Need to add one more column name name “Sibling Inform in Fee Concession Approval  form,",10X-Atul-PD,8,1,2025-05-08T11:48:24Z,31,"Fee & Billing, TL Review, Product Head Reviewed",,1060001536356,,,Fee and Billing,Change Request
1312980,Concession Entry,10X-Atul-PD,16,2,2025-05-08T04:34:25Z,31,"Fee & Billing, Product Head Reviewed, WFC",,1060004975270,,,Fee and Billing,Change Request
1314589,"Regarding Report generation(1934#St. Charles Women's PU College, Bengaluru, Karnataka)",10X-Atul-PD,8,1,2025-05-09T08:38:13Z,30,"Fee & Billing, TL Review, Prod. Enhancement",,1060001536356,,,Fee and Billing,Prod. Enhancement
1314008,Salary Slip Through Mail || JSHLPB,10X-Sandhya-PD,8,1,2025-05-09T04:02:57Z,31,"Staff Administration and Payroll, Prod. Enhancement, Product Head Reviewed",,1060023084288,,,Staff Administration & Payroll,Prod. Enhancement
1313957,Reg - Fee Structure Amount Showing in Dues,10X-Atul-PD,8,1,2025-05-09T03:36:11Z,31,"Fee & Billing, Prod. Enhancement, TL Review",,1060004975270,,,Fee and Billing,Prod. Enhancement
1316249,"Notification || 2129#Shree Sakchi Gujarati English School, Kasidih, Jharkhand",10X-Atul-PD,8,2,2025-05-12T09:03:31Z,27,"SMS, Prod. Enhancement",,1060023085785,,,Sms System,Prod. Enhancement
1316158,absent should mark in to LWP,10X-Sandhya-PD,16,3,2025-05-12T07:51:24Z,27,"Staff Attendance and Leave, Prod. Enhancement, TL Review, Product Head Reviewed, WFC",,1060004975270,,,Staff Attendance and Leave,Prod. Enhancement
1316116,Excess Adjustment,10X-Atul-PD,8,3,2025-05-12T07:20:00Z,27,"Fee & Billing, Prod. Enhancement",,1060004975270,,,Fee and Billing,Prod. Enhancement
1316072,"SMS || Shree Sakchi Gujarati English School, Kasidih, Jharkhand",10X-Sandhya-PD,8,1,2025-05-12T06:56:55Z,27,"SMS, Prod. Enhancement, Product Head Reviewed",,1060023084071,,,Sms System,Prod. Enhancement
1315916,POS Android Machine Integration.,10X-Atul-PD,8,3,2025-05-12T05:55:42Z,27,Fee & Billing,,1060004975270,,,Fee and Billing,Change Request
1317104,Multiyear collection report & Transport report,10X-Atul-PD,8,2,2025-05-13T08:23:40Z,26,"Fee & Billing, TL Review, Product Head Reviewed",,1060004975270,,,Fee and Billing,Change Request
1318456,WhatsApp Integration,10X-Atul-PD,16,2,2025-05-14T11:53:44Z,25,WFC,,1060001536356,,,Whatsapp,Change Request
1318287,Need changes in staff id card,10X-Sandhya-PD,8,2,2025-05-14T09:57:18Z,25,"Staff Attendance and Leave, TL Review, WFC, Confirmation Given",,1060001529614,,,Staff Attendance and Leave,Change Request
1319562,Regarding Fee and Billing report in excel.,10X-Atul-PD,8,1,2025-05-15T12:43:06Z,24,"Fee & Billing, TL Review, Product Head Reviewed, WFC, Confirmation Given",,1060023085785,,,Fee and Billing,Prod. Enhancement
1319492,Unpaid parents Pop-up Notification required for Clear Dues both Branches,10X-Atul-PD,8,1,2025-05-15T11:25:24Z,24,"School Online, TL Review",,1060004975270,,,School Online,Prod. Enhancement
1319475,Partial Payment,10X-Atul-PD,8,2,2025-05-15T11:04:49Z,24,"Mobile App, Fee & Billing",,1060004975270,,,Fee and Billing,Change Request
1319463,Regarding Student Enquiry Data,10X-Atul-PD,8,3,2025-05-15T10:57:13Z,24,"Registration, TL Review, Product Head Reviewed, WFC, Confirmation Given",,1060001536356,,,Registration & Admission,Change Request
1319404,How to apply compensatory leave (Comp off) through app  for Teaching or Non Teaching Staff .App showing Leave Not Assign,10X-Sandhya-PD,8,1,2025-05-15T10:20:05Z,24,"Staff Attendance and Leave, TL Review, Product Head Reviewed",,1060004975270,,,Staff Attendance and Leave,Prod. Enhancement
1319384,Security Adjust,10X-Atul-PD,8,1,2025-05-15T10:09:15Z,24,"Fee & Billing, Product Head Reviewed",,1060001536356,,,Fee and Billing,Prod. Enhancement
1319211,Subject and Exam wise Grade setting,10X-Shobia-PD,16,1,2025-05-15T07:54:28Z,24,"Examination, WFC, Product Head Reviewed",,1060004325487,,,Examination & Result Analysis,Prod. Enhancement
1319181,Excess in Student Ledger,10X-Atul-PD,8,4,2025-05-15T07:36:50Z,24,Fee & Billing,,1060004975270,,,Fee and Billing,Change Request
1319068,Regarding Student Report,10X-Sandhya-PD,8,3,2025-05-15T06:36:11Z,24,"Student Inforamtion, TL Review, Prod. Enhancement, Product Head Reviewed",,1060004324590,,,Student Information,Prod. Enhancement
1319060,In Payroll => Payroll Report => Salary Statement For Bank,10X-Sandhya-PD,8,1,2025-05-15T06:33:44Z,24,Staff Administration and Payroll,,1060001529614,,,Staff Administration & Payroll,Change Request
1318929,In Payroll => Payroll Reports => PaySlip,10X-Sandhya-PD,8,1,2025-05-15T05:42:43Z,24,Staff Administration and Payroll,,1060023084288,,,Staff Administration & Payroll,Change Request
1318734,Customize landing page || #1093 HBSJBD,10X-Sandhya-PD,8,3,2025-05-15T04:21:30Z,24,"Preference, TL Review, Prod. Enhancement",,1060004975270,,,Preference,Prod. Enhancement
1320553,Regarding SMS for Student Gate pass || CODE: ISRJR,10X-Sandhya-PD,8,1,2025-05-16T11:22:08Z,23,"SMS, TL Review",,1060023084288,,,Sms System,Prod. Enhancement
1320464,"Need to Add E-nach Filter|| 1369#G.D Goenka Public School, Patna",10X-Atul-PD,8,1,2025-05-16T10:12:33Z,23,"SMS, TL Review, Product Head Reviewed, WFC, Confirmation Given",,1060023085785,,,Sms System,Change Request
1320408,"Staff Information || Adani Gems School of Excellence, Lucknow, Uttar Pradesh",10X-Sandhya-PD,8,3,2025-05-16T09:36:37Z,23,"Staff Administration and Payroll, Product Head Reviewed",,1060001529614,,,Staff Administration & Payroll,Change Request
1320385,Regarding Addition of short leave- 10X,10X-Sandhya-PD,8,2,2025-05-16T09:20:47Z,23,"Staff Attendance and Leave, TL Review, WFC, Confirmation Given, Product Head Reviewed",,1060004975270,,,Staff Attendance and Leave,Change Request
1320284,Service Charge setup required in Amount,10X-Atul-PD,8,1,2025-05-16T08:11:32Z,23,"Fee & Billing, Product Head Reviewed",,1060023085785,,,Fee and Billing,Change Request
1322085,School want Homework/Assignment MIS auto mail need send to management email id,10X-Sandhya-PD,8,1,2025-05-19T12:02:06Z,20,"School Online, WFC, Product Head Reviewed, Confirmation Given",,1060023084071,,,School Online,Change Request
1322065,Time duration hours showing wrong for all staff all Branches under Staff Detailed Work Duration Report,10X-Sandhya-PD,8,2,2025-05-19T11:23:01Z,20,"Staff Attendance and Leave, TL Review",,1060004975270,,,Staff Attendance and Leave,Change Request
1323061,Regarding salary generation,10X-Sandhya-PD,8,2,2025-05-20T12:54:50Z,19,"Staff Administration and Payroll, TL Review",,1060023084288,,,Staff Administration & Payroll,Change Request
1323030,"Column Addition in Circular-> 1938#HindalcoPrimary School,Unit-3,Renukoot,Uttar Pradesh",10X-Sandhya-PD,8,3,2025-05-20T11:56:25Z,19,"School Online, TL Review, Product Head Reviewed",,1060023083789,,,School Online,Change Request
1322519,"Enhancement Request in Fine Setting(1895#Cambrian Public School, Ranchi, Jharkhand)",10X-Atul-PD,8,1,2025-05-20T06:00:15Z,19,"Fee & Billing, Prod. Enhancement, TL Review",,1060004975270,,,Fee and Billing,Prod. Enhancement
1322444,"Student Reports || SHCSCI || 1247#Sacred Heart Convent School, Chandausi , UP",10X-Sandhya-PD,8,3,2025-05-20T05:26:59Z,19,"Student Inforamtion, TL Review, Product Head Reviewed",,1060023084071,,,Student Information,Change Request
1322384,REG FEE AND BILLING (Student Defaulter Detail report),10X-Atul-PD,8,3,2025-05-20T04:57:24Z,19,"Fee & Billing, TL Review, Product Head Reviewed",,1060023085785,,,Fee and Billing,Change Request
1323608,"Kindly Provide form Staff Information -> ""Rating of Teacher""",10X-Sandhya-PD,16,1,2025-05-21T07:36:48Z,18,"Student Inforamtion, Deviation, TL Review, Staff Administration and Payroll, Product Head Reviewed, WFC",,1060001529614,,,Staff Administration & Payroll,Deviation
1323563,Net Pay is not getting impacted,10X-Sandhya-PD,8,1,2025-05-21T07:14:41Z,18,"Staff Administration and Payroll, Product Head Reviewed",,1060023084288,,,Staff Administration & Payroll,Change Request
1324726,Provision in student attendance,10X-Sandhya-PD,8,1,2025-05-22T09:28:28Z,17,"TL Review, Student Attendance, Product Head Reviewed",,1060023086492,,,Student Attendance,Prod. Enhancement
1324688,Newspaper Receipt and  Newspaper Subscription Report,10X-Sandhya-PD,8,1,2025-05-22T09:00:51Z,17,"Library, TL Review",,1060018581359,,,Library Management,Prod. Enhancement
1324567,Regarding route wise detail report,10X-Atul-PD,8,2,2025-05-22T07:42:36Z,17,"Transport Management, Prod. Enhancement, TL Review, Product Head Reviewed, WFC, Confirmation Given",,1060001536356,,,Transport Management,Prod. Enhancement
1324270,"Reg - Staff Retirement Age || # 137 St. Joseph's Higher Sec. School, Baramulla",10X-Sandhya-PD,8,2,2025-05-22T05:31:55Z,17,"Staff Administration and Payroll, Prod. Enhancement, TL Review",,1060023084288,,,Staff Administration & Payroll,Prod. Enhancement
1324232,"NEED RECEIPT GROUP COLLECTION REPORT || 851#Sacred Heart Public School, S. H. Mount, Kottayam",10X-Atul-PD,8,3,2025-05-22T05:14:10Z,17,Fee & Billing,,1060004325688,,,Fee and Billing,Change Request
1324170,Fwd: Key for BDUAT2K562- HIGHLY CONFIDENTIAL!!!,10X-Atul-PD,16,4,2025-05-22T04:36:27Z,17,"Fee & Billing, Prod. Enhancement, WFC",,1060001536356,,,Fee and Billing,Prod. Enhancement
1325649,"Reg. Fee Collection || 197#St. Josephs School, Khorabar, Gorakhpur",10X-Atul-PD,8,4,2025-05-23T11:16:51Z,16,"Fee & Billing, TL Review",,1060001536356,,,Fee and Billing,Change Request
1325443,"Staff Dashboard || International School, Rajouri, Jammu",10X-Sandhya-PD,8,1,2025-05-23T08:08:34Z,16,"Staff Administration and Payroll, Product Head Reviewed",,1060001529614,,,Staff Administration & Payroll,Change Request
1326237,Need to add Collection type HDFC,10X-Atul-PD,8,3,2025-05-26T04:33:32Z,13,Fee & Billing,,1060004975270,,,Fee and Billing,Change Request
1327671,Report Card PDF (Migrated) display in Parent Portal,10X-Shobia-PD,8,1,2025-05-27T12:21:20Z,12,Examination,,1060004325487,,,Examination & Result Analysis,Prod. Enhancement
1327647,Request for Result Analysis in Attached Format – Session 2024–25 || CODE: VKVRDV,10X-Shobia-PD,8,3,2025-05-27T11:39:56Z,12,"Examination, TL Review, Prod. Enhancement",,1060004325607,,,Examination & Result Analysis,Prod. Enhancement
1327646,Reg - fine issue for previous arrear,10X-Atul-PD,8,1,2025-05-27T11:37:28Z,12,"Fee & Billing, TL Review",,1060004975270,,,Fee and Billing,Prod. Enhancement
1327559,Fee and Billing,10X-Atul-PD,8,1,2025-05-27T09:47:53Z,12,"Fee & Billing, TL Review, Product Head Reviewed",,1060004325688,,,Fee and Billing,Change Request
1327528,"regarding student defaulter detail (1243#Sacred Heart Convent High School, Kathua , J&K )",10X-Atul-PD,8,3,2025-05-27T09:28:14Z,12,"Fee & Billing, TL Review, Product Head Reviewed",,1060001536356,,,Fee and Billing,Prod. Enhancement
1327443,"Sacred Heart, Kottayam # 851(Reg : Display of Previous Year Defaulter Status in Fee Collection form)",10X-Atul-PD,8,3,2025-05-27T08:14:05Z,12,Fee & Billing,,1060004975270,,,Fee and Billing,Prod. Enhancement
1327414,Session 2024-2025 #Online Settlement Status #Showing Generated successfully but not coming in Settlement Report #29thAUG-2024 & SEP-2024,10X-Atul-PD,8,3,2025-05-27T07:51:14Z,12,"Fee & Billing, TL Review, WFC, Confirmation Given, Product Head Reviewed",,1060004325688,,,Fee and Billing,Change Request
1328610,Book Store in 10X,10X-Atul-PD,8,1,2025-05-28T13:00:08Z,11,,,1060004975270,,,Book Store,Change Request
1328579,Relevent name should be there for downloaded files,10X-Shobia-PD,8,1,2025-05-28T12:10:06Z,11,"Examination, Product Head Reviewed",,1060004325487,,,Examination & Result Analysis,Prod. Enhancement
1328558,Auto Permission/Access for new staffs,10X-Sandhya-PD,8,1,2025-05-28T11:43:38Z,11,"School Online, Product Head Reviewed",,1060023086492,,,School Online,Prod. Enhancement
1328552,Auto Time slot assignment for new staffs,10X-Sandhya-PD,8,1,2025-05-28T11:36:32Z,11,"Staff Attendance and Leave, Product Head Reviewed",,1060023086492,,,Staff Attendance and Leave,Prod. Enhancement
1328542,Auto Generation & Sharing of New Login Credentials for new students,10X-Sandhya-PD,8,1,2025-05-28T11:28:20Z,11,"Student Inforamtion, Product Head Reviewed",,1060004975270,,,Student Information,Prod. Enhancement
1328528,In Payroll >> Reports >> Acquitance roll >> Need to update caption,10X-Sandhya-PD,8,1,2025-05-28T11:10:30Z,11,Staff Administration and Payroll,,1060023084288,,,Staff Administration & Payroll,Change Request
1328523,In Payroll >> Reports >> Acquitance roll >> Need to update caption,10X-Sandhya-PD,8,3,2025-05-28T11:09:00Z,11,Staff Administration and Payroll,,1060023084288,,,Staff Administration & Payroll,Change Request
1328461,Student info #1471,10X-Sandhya-PD,8,2,2025-05-28T10:06:16Z,11,Student Inforamtion,,1060001529614,,,Student Information,Change Request
1328444,Fee #1471,10X-Atul-PD,8,2,2025-05-28T09:46:48Z,11,"Fee & Billing, WFC, Confirmation Given",,1060023085785,,,Fee and Billing,Change Request
1328049,Request for Alphabetical Order in Classwise Transfer Certificate Preview || CODE: SJBSJL,10X-Sandhya-PD,8,2,2025-05-28T05:58:24Z,11,"Student Inforamtion, TL Review",,1060023084904,,,Student Information,Change Request
1327813,Assign Multiple Optional Subjects to Students Simultaneously,10X-Shobia-PD,8,1,2025-05-28T03:58:50Z,12,Examination,,1060004324401,,,Examination & Result Analysis,Prod. Enhancement
